Date,IRD
2026-01-21,11.673744720454
2026-01-22,11.674662881982
2026-01-23,11.675581115725
2026-01-26,11.6783362503015
2026-01-27,11.6792547729617
2026-01-28,11.6801733678655
2026-01-29,11.6810920350184
2026-01-30,11.6820107744261
2026-02-02,11.6837288165558
2026-02-03,11.6841282453156
2026-02-04,11.6845276877305
2026-02-05,11.6849271438011
2026-02-06,11.6853266135277
2026-02-09,11.686525104649
2026-02-10,11.6869246290048
2026-02-11,11.687324167019
2026-02-12,11.6877237186921
2026-02-13,11.6881232840246
2026-02-16,11.689322061983
2026-02-17,11.6897216819576
2026-02-18,11.690121315594
2026-02-19,11.6905209628925
2026-02-20,11.6909206238537
2026-02-23,11.6921196887178
2026-02-24,11.6925194043342
2026-02-25,11.6929191336156
2026-02-26,11.6933188765625
2026-02-27,11.6937186331752
